,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.874005714727006,0.9266611624252727,0.8738631593316437,0.874005714727006,0.8736942079747498,0.7429049166038465
Decision Tree,0.9471387751949958,0.9466020593362806,0.9471947531509045,0.9471387751949958,0.9471587092152461,0.892530710461524
K-Nearest Neighbor,0.9288748165881535,0.9716237060049416,0.9298803362363962,0.9288748165881535,0.9285248763465626,0.8557088241906946
Naive Bayes,0.8652405591165341,0.9230460087165557,0.8650837327634523,0.8652405591165341,0.8648585960978871,0.724936529387463
Random Forest,0.9623136921770021,0.9942064233726438,0.9625701387436589,0.9623136921770021,0.9622318859603388,0.9234229203603699
